task,candidate,sha256,method,checker_shape,conv_bias,candidate_cost,baseline_cost,known_right,known_total,runtime_errors,fresh,verdict,reason
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_W_axis0_idx1.onnx,f2cc8d5f87ca6e690631bfec5871ff39beab82fee86333af4e54815c18b5ac70,singleton broadcast prune,PASS,PASS,90,100,7,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_W_axis1_idx0.onnx,ef71695ddd0d774ab351f5d2053f915c4f7f29fc1e153bc514312d57f393b192,singleton broadcast prune,PASS,PASS,82,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_W_axis1_idx9.onnx,469cefc83eeac18281c5a11453334035afb41c68cce4343fbf2a4575bb0f14f4,singleton broadcast prune,PASS,PASS,82,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_gate_axis0_idx0.onnx,b0fdb21548692d3a1facecbee781d9525bc2ab425f11d4d881f9eeb183854730,singleton broadcast prune,PASS,PASS,91,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_gate_axis0_idx9.onnx,1bdfbcd2419be4d58a8363b6b7b38ae4c4283450c586e2297415b505aa90bc54,singleton broadcast prune,PASS,PASS,91,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_v1_axis0_idx0.onnx,32933e4366160deab310943b3278d76e8179b226254b43d61966a75084f386eb,singleton broadcast prune,PASS,PASS,99,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_v1_axis0_idx1.onnx,e3143eefb0dd104cc8116abeaac37c76ec5410fba6408bf6dd142565285f047b,singleton broadcast prune,PASS,PASS,99,100,23,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
271,others/2/7907/task271_improved.onnx,d6c7c02fe2bf418140136570c266fac48035eca273ef8f30c7947fa5bfe1d180,archived Gather candidate,PASS,PASS,10,135,0,267,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
359,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task359_E_axis1_idx0.onnx,d31990358268d107989cfff7ea02b953aaab23ec555092fd5eb1b87d0a35747a,singleton broadcast prune,PASS,PASS,14,24,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
359,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task359_E_axis1_idx1.onnx,e9c2b5ba4653bf0cda9735ba41785a94c8f8941d36258367ddc438d8459397a3,singleton broadcast prune,PASS,PASS,14,24,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
359,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task359_M_axis0_idx0.onnx,149cf16cd3bb45366333f0e603ec4ba14842807a6d5ead581072bcb64b179250,singleton broadcast prune,PASS,PASS,22,24,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
359,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task359_M_axis0_idx1.onnx,01a7d73bd595a06ddeefbb9750fbdc04aee7393e36979e6543a96791aa942682,singleton broadcast prune,PASS,PASS,22,24,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
359,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task359_M_axis1_idx0.onnx,6f7a99425b22fd6f678bed85534778e44dafa517995c783256d80a88aa849290,singleton broadcast prune,PASS,PASS,22,24,0,1,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,train[0] threshold mismatch (1097 cells)
359,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task359_M_axis1_idx1.onnx,cb77b2ae865a659f9d0ddcabf764737c6e9f89ba3ee63bada15bbcfca108d7c1,singleton broadcast prune,PASS,PASS,22,24,0,1,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,train[0] threshold mismatch (1381 cells)
